Time / s,Power / W
1286,5939.868760154675
1287,5367.802983539098
1288,4248.702698495359
1289,3653.5886622680587
1290,4119.498066598544
1291,4071.7318787341756
1292,2963.354042695521
1293,2373.0443532069253
1294,2306.3886992836465
1295,3265.4379550540284
1296,5263.573432098738
1297,7284.980091666192
1298,8835.589893004104
1299,9902.636329084744
1300,9972.64355990179
1301,9504.427695670873
1302,9550.091205182644
1303,10113.749746072914
1304,9664.961352061457
1305,8646.905499035513
1306,8147.409083981072
1307,7626.1470812376165
1308,7104.885078494162
1309,7085.177103973798
1310,7085.177103973725
1311,6545.619788275402
1312,6007.47508023026
1313,4935.423271450142
1314,4885.26387075141
1315,4852.027070473254
1316,2753.0922760416393
1317,2163.304473958334
1318,3123.4500282660015
1319,6084.231316684276
1320,10657.259363747442
1321,14331.607548392043
1322,18192.122297899015
1323,22261.12236657187
1324,24499.731505079788
1325,22424.13501234565
1326,17354.628590037217
1327,12533.516321292504
1328,9810.31423611113
1329,8699.203125000002
1330,8699.203125000002
1331,8699.203125000002
1332,8143.647569444478
1333,6457.215830563626
1334,5292.557946025711
1335,5238.030510476238
1336,6281.286389269976
1337,7357.97698956665
1338,7884.6420787036595
1339,8431.967181584365
1340,8979.29228446507
1341,9550.020885314281
1342,11219.557994208199
1343,12976.327567901222
1344,13087.700134735549
1345,12642.842382411236
1346,11048.341663511137
1347,9394.84418106993
1348,7715.831835391013
1349,3764.983221669766
1350,-1331.1547159851427
1351,-5260.801337143727
1352,-6932.5592233843745
1353,-7484.942748971222
1354,-8009.579576710388
1355,-9010.679016975319
1356,-10941.853422084541
1357,-12268.497402777735
1358,-13024.119664818663
1359,-14150.673257904211
1360,-14267.150695263645
1361,-10125.410383782933
1362,-2555.426385592914
1363,5638.779369131974
1364,13191.286651882338
1365,14439.781775205776
1366,9101.064391499034
1367,2242.003595486101
1368,-6333.127751088354
1369,-9555.781893004114
1370,-4193.2359811004535
1371,2156.5712817596363
1372,4535.172104804909
1373,2553.004752267186
1374,-1821.7556788194215
1375,-7246.263125038103
1376,-16041.990278227899
1377,-27022.24900792561
1378,-30028.947924108827
1379,-26695.136831790125
1380,-23300.44697412504
1381,-13762.369676573688
1382,943.6253718492787
1383,12899.210757604113
1384,16129.852823019073
1385,11408.488711629334
1386,7256.360104450067
1387,9262.113676573681
1388,15699.710812547628
1389,23444.816870344177
1390,27713.712215470692
1391,25259.97459272595
1392,18728.23387654319
1393,11890.108487204223
1394,6405.663622106487
1395,3393.3179430941527
1396,1119.1536276839588
1397,-1522.2491949755174
